date,Germany,India,United Kingdom
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,,,
2020-01-22,,,
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,1.1918884221758422e-08,,
2020-01-28,4.767553688703369e-08,,
2020-01-29,4.767553688703369e-08,,
2020-01-30,4.767553688703369e-08,7.176643586463674e-10,
2020-01-31,5.959442110879211e-08,7.176643586463674e-10,2.9322454546310226e-08
2020-02-01,9.535107377406738e-08,7.176643586463674e-10,2.9322454546310226e-08
2020-02-02,1.1918884221758421e-07,1.4353287172927348e-09,2.9322454546310226e-08
2020-02-03,1.4302661066110105e-07,2.152993075939102e-09,1.172898181852409e-07
2020-02-04,1.4302661066110105e-07,2.152993075939102e-09,1.172898181852409e-07
2020-02-05,1.4302661066110105e-07,2.152993075939102e-09,1.3195104545839604e-07
2020-02-06,1.4302661066110105e-07,2.152993075939102e-09,1.3195104545839604e-07
2020-02-07,1.5494549488285948e-07,2.152993075939102e-09,1.3195104545839604e-07
2020-02-08,1.5494549488285948e-07,2.152993075939102e-09,1.905959545510165e-07
2020-02-09,1.668643791046179e-07,2.152993075939102e-09,2.052571818241716e-07
2020-02-10,1.668643791046179e-07,2.152993075939102e-09,2.052571818241716e-07
2020-02-11,1.9070214754813475e-07,2.152993075939102e-09,2.199184090973267e-07
2020-02-12,1.9070214754813475e-07,2.152993075939102e-09,2.345796363704818e-07
2020-02-13,1.9070214754813475e-07,2.152993075939102e-09,2.492408636436369e-07
2020-02-14,1.9070214754813475e-07,2.152993075939102e-09,2.639020909167921e-07
2020-02-15,1.9070214754813475e-07,2.152993075939102e-09,2.639020909167921e-07
2020-02-16,1.9070214754813475e-07,2.152993075939102e-09,2.639020909167921e-07
